conname,contype,src_table,src_cols,tgt_table,tgt_cols,confdeltype
project_project_stage_delete_wizard_create_uid_fkey,f,project_project_stage_delete_wizard,create_uid,res_users,id,n
project_project_stage_delete_wizard_write_uid_fkey,f,project_project_stage_delete_wizard,write_uid,res_users,id,n
project_project_stage_delete_wizard_pkey,p,project_project_stage_delete_wizard,id,,, 
project_project_stage_project_pro_project_project_stage_id_fkey,f,project_project_stage_project_project_stage_delete_wizard_rel,project_project_stage_id,project_project_stage,id,c
project_project_stage_project_project_project_stage_delete_fkey,f,project_project_stage_project_project_stage_delete_wizard_rel,project_project_stage_delete_wizard_id,project_project_stage_delete_wizard,id,c
project_project_stage_project_project_stage_delete_wizard__pkey,p,project_project_stage_project_project_stage_delete_wizard_rel,"project_project_stage_delete_wizard_id,project_project_stage_id",,, 
project_role_create_uid_fkey,f,project_role,create_uid,res_users,id,n
project_role_write_uid_fkey,f,project_role,write_uid,res_users,id,n
project_role_pkey,p,project_role,id,,, 
project_role_project_task_rel_project_role_id_fkey,f,project_role_project_task_rel,project_role_id,project_role,id,c
project_role_project_task_rel_project_task_id_fkey,f,project_role_project_task_rel,project_task_id,project_task,id,c
project_role_project_task_rel_pkey,p,project_role_project_task_rel,"project_task_id,project_role_id",,, 
project_share_collaborator_wizard_create_uid_fkey,f,project_share_collaborator_wizard,create_uid,res_users,id,n
project_share_collaborator_wizard_parent_wizard_id_fkey,f,project_share_collaborator_wizard,parent_wizard_id,project_share_wizard,id,n
project_share_collaborator_wizard_partner_id_fkey,f,project_share_collaborator_wizard,partner_id,res_partner,id,c
project_share_collaborator_wizard_write_uid_fkey,f,project_share_collaborator_wizard,write_uid,res_users,id,n
project_share_collaborator_wizard_pkey,p,project_share_collaborator_wizard,id,,, 
project_share_wizard_create_uid_fkey,f,project_share_wizard,create_uid,res_users,id,n
project_share_wizard_write_uid_fkey,f,project_share_wizard,write_uid,res_users,id,n
project_share_wizard_pkey,p,project_share_wizard,id,,, 
project_share_wizard_res_partner_r_project_share_wizard_id_fkey,f,project_share_wizard_res_partner_rel,project_share_wizard_id,project_share_wizard,id,c
project_share_wizard_res_partner_rel_res_partner_id_fkey,f,project_share_wizard_res_partner_rel,res_partner_id,res_partner,id,c
project_share_wizard_res_partner_rel_pkey,p,project_share_wizard_res_partner_rel,"project_share_wizard_id,res_partner_id",,, 
project_tags_create_uid_fkey,f,project_tags,create_uid,res_users,id,n
project_tags_write_uid_fkey,f,project_tags,write_uid,res_users,id,n
project_tags_pkey,p,project_tags,id,,, 
project_tags_name_uniq,u,project_tags,name,,, 
project_tags_project_task_rel_project_tags_id_fkey,f,project_tags_project_task_rel,project_tags_id,project_tags,id,c
project_tags_project_task_rel_project_task_id_fkey,f,project_tags_project_task_rel,project_task_id,project_task,id,c
project_tags_project_task_rel_pkey,p,project_tags_project_task_rel,"project_task_id,project_tags_id",,, 
project_task_company_id_fkey,f,project_task,company_id,res_company,id,n
project_task_create_uid_fkey,f,project_task,create_uid,res_users,id,n
project_task_displayed_image_id_fkey,f,project_task,displayed_image_id,ir_attachment,id,n
project_task_milestone_id_fkey,f,project_task,milestone_id,project_milestone,id,n
project_task_parent_id_fkey,f,project_task,parent_id,project_task,id,n
project_task_partner_id_fkey,f,project_task,partner_id,res_partner,id,n
project_task_project_id_fkey,f,project_task,project_id,project_project,id,n
project_task_recurrence_id_fkey,f,project_task,recurrence_id,project_task_recurrence,id,n
project_task_stage_id_fkey,f,project_task,stage_id,project_task_type,id,r
project_task_write_uid_fkey,f,project_task,write_uid,res_users,id,n
project_task_pkey,p,project_task,id,,, 
project_task_recurrence_create_uid_fkey,f,project_task_recurrence,create_uid,res_users,id,n
project_task_recurrence_write_uid_fkey,f,project_task_recurrence,write_uid,res_users,id,n
project_task_recurrence_pkey,p,project_task_recurrence,id,,, 
project_task_type_create_uid_fkey,f,project_task_type,create_uid,res_users,id,n
project_task_type_mail_template_id_fkey,f,project_task_type,mail_template_id,mail_template,id,n
project_task_type_rating_template_id_fkey,f,project_task_type,rating_template_id,mail_template,id,n
project_task_type_sms_template_id_fkey,f,project_task_type,sms_template_id,sms_template,id,n
project_task_type_user_id_fkey,f,project_task_type,user_id,res_users,id,n
project_task_type_write_uid_fkey,f,project_task_type,write_uid,res_users,id,n
project_task_type_pkey,p,project_task_type,id,,, 
project_task_type_delete_wizard_create_uid_fkey,f,project_task_type_delete_wizard,create_uid,res_users,id,n
project_task_type_delete_wizard_write_uid_fkey,f,project_task_type_delete_wizard,write_uid,res_users,id,n
project_task_type_delete_wizard_pkey,p,project_task_type_delete_wizard,id,,, 
project_task_type_project_tas_project_task_type_delete_wiz_fkey,f,project_task_type_project_task_type_delete_wizard_rel,project_task_type_delete_wizard_id,project_task_type_delete_wizard,id,c
project_task_type_project_task_type_d_project_task_type_id_fkey,f,project_task_type_project_task_type_delete_wizard_rel,project_task_type_id,project_task_type,id,c
project_task_type_project_task_type_delete_wizard_rel_pkey,p,project_task_type_project_task_type_delete_wizard_rel,"project_task_type_delete_wizard_id,project_task_type_id",,, 
project_task_type_rel_project_id_fkey,f,project_task_type_rel,project_id,project_project,id,c
project_task_type_rel_type_id_fkey,f,project_task_type_rel,type_id,project_task_type,id,c
project_task_type_rel_pkey,p,project_task_type_rel,"project_id,type_id",,, 
project_task_user_rel_create_uid_fkey,f,project_task_user_rel,create_uid,res_users,id,n
project_task_user_rel_stage_id_fkey,f,project_task_user_rel,stage_id,project_task_type,id,r
project_task_user_rel_task_id_fkey,f,project_task_user_rel,task_id,project_task,id,c
project_task_user_rel_user_id_fkey,f,project_task_user_rel,user_id,res_users,id,c
project_task_user_rel_write_uid_fkey,f,project_task_user_rel,write_uid,res_users,id,n
project_task_user_rel_pkey,p,project_task_user_rel,id,,, 
project_task_user_rel_project_personal_stage_unique,u,project_task_user_rel,"task_id,user_id",,, 
project_template_create_wizard_alias_domain_id_fkey,f,project_template_create_wizard,alias_domain_id,mail_alias_domain,id,n
project_template_create_wizard_create_uid_fkey,f,project_template_create_wizard,create_uid,res_users,id,n
project_template_create_wizard_template_id_fkey,f,project_template_create_wizard,template_id,project_project,id,n
project_template_create_wizard_write_uid_fkey,f,project_template_create_wizard,write_uid,res_users,id,n
project_template_create_wizard_pkey,p,project_template_create_wizard,id,,, 
project_template_role_to_users_map_create_uid_fkey,f,project_template_role_to_users_map,create_uid,res_users,id,n
project_template_role_to_users_map_role_id_fkey,f,project_template_role_to_users_map,role_id,project_role,id,c
project_template_role_to_users_map_wizard_id_fkey,f,project_template_role_to_users_map,wizard_id,project_template_create_wizard,id,n
project_template_role_to_users_map_write_uid_fkey,f,project_template_role_to_users_map,write_uid,res_users,id,n
project_template_role_to_users_map_pkey,p,project_template_role_to_users_map,id,,, 
project_template_role_to_user_project_template_role_to_use_fkey,f,project_template_role_to_users_map_res_users_rel,project_template_role_to_users_map_id,project_template_role_to_users_map,id,c
project_template_role_to_users_map_res_users__res_users_id_fkey,f,project_template_role_to_users_map_res_users_rel,res_users_id,res_users,id,c
project_template_role_to_users_map_res_users_rel_pkey,p,project_template_role_to_users_map_res_users_rel,"project_template_role_to_users_map_id,res_users_id",,, 
project_update_create_uid_fkey,f,project_update,create_uid,res_users,id,n
project_update_project_id_fkey,f,project_update,project_id,project_project,id,r
project_update_uom_id_fkey,f,project_update,uom_id,uom_uom,id,n
project_update_user_id_fkey,f,project_update,user_id,res_users,id,r
project_update_write_uid_fkey,f,project_update,write_uid,res_users,id,n
project_update_pkey,p,project_update,id,,, 
properties_base_definition_create_uid_fkey,f,properties_base_definition,create_uid,res_users,id,n
properties_base_definition_properties_field_id_fkey,f,properties_base_definition,properties_field_id,ir_model_fields,id,c
properties_base_definition_write_uid_fkey,f,properties_base_definition,write_uid,res_users,id,n
properties_base_definition_pkey,p,properties_base_definition,id,,, 
properties_base_definition_unique_properties_field_id,u,properties_base_definition,properties_field_id,,, 
rating_rating_create_uid_fkey,f,rating_rating,create_uid,res_users,id,n
rating_rating_message_id_fkey,f,rating_rating,message_id,mail_message,id,c
rating_rating_parent_res_model_id_fkey,f,rating_rating,parent_res_model_id,ir_model,id,c
rating_rating_partner_id_fkey,f,rating_rating,partner_id,res_partner,id,n
rating_rating_publisher_id_fkey,f,rating_rating,publisher_id,res_partner,id,n
